Timestamp,Drilling_Type,Bit_Depth_ft,ROP_ft_per_hr,WOB_klbf,RPM,Torque_lbf_ft,Mud_Flow_gpm,Formation
2025-05-08 05:03:14.372923,Oil & Gas,1220,9.42,33.89,107,344.31,324.93,Limestone
2025-05-08 05:03:24.372923,Oil & Gas,1225,10.76,18.03,146,293.9,334.83,Shale
2025-05-08 05:03:34.372923,Oil & Gas,1230,6.09,14.22,120,570.16,363.1,Clay
2025-05-08 05:03:44.372923,Oil & Gas,1235,6.94,20.69,94,348.09,332.55,Shale
2025-05-08 05:03:54.372923,Oil & Gas,1240,10.01,26.12,99,447.81,224.05,Limestone
2025-05-08 05:04:04.372923,Oil & Gas,1245,5.56,28.19,128,549.1,372.6,Shale
2025-05-08 05:04:14.372923,Oil & Gas,1250,11.81,26.08,107,231.46,205.31,Sandstone
2025-05-08 05:04:24.372923,Oil & Gas,1255,6.04,26.77,156,538.07,282.02,Clay
2025-05-08 05:04:34.372923,Oil & Gas,1260,7.95,13.28,92,260.83,287.24,Clay
2025-05-08 05:04:44.372923,Oil & Gas,1265,5.31,13.19,139,274.49,244.75,Limestone
2025-05-08 05:04:54.372923,Oil & Gas,1270,8.98,34.45,141,270.36,320.47,Clay
2025-05-08 05:05:04.372923,Oil & Gas,1275,13.08,20.98,126,270.55,277.99,Shale
2025-05-08 05:05:14.372923,Oil & Gas,1280,8.8,13.48,96,563.51,247.52,Limestone
2025-05-08 05:05:24.372923,Oil & Gas,1285,8.31,19.92,99,261.81,263.16,Shale
2025-05-08 05:05:34.372923,Oil & Gas,1290,12.12,11.11,95,321.51,322.25,Shale
2025-05-08 05:05:44.372923,Oil & Gas,1295,6.65,21.98,154,442.82,251.6,Clay
2025-05-08 05:05:54.372923,Oil & Gas,1300,11.05,21.74,109,572.43,371.56,Clay
2025-05-08 05:06:04.372923,Oil & Gas,1305,11.42,37.92,151,353.39,259.49,Limestone
2025-05-08 05:06:14.372923,Oil & Gas,1310,10.04,20.31,130,294.3,301.32,Clay
2025-05-08 05:06:24.372923,Oil & Gas,1315,9.51,37.52,129,406.49,245.51,Clay
2025-05-08 05:06:34.372923,Oil & Gas,1320,9.39,10.79,147,255.92,333.29,Sandstone
2025-05-08 05:06:44.372923,Oil & Gas,1325,10.31,36.63,152,505.95,329.98,Limestone
2025-05-08 05:06:54.372923,Oil & Gas,1330,6.57,12.31,129,546.53,375.03,Sandstone
2025-05-08 05:07:04.372923,Oil & Gas,1335,8.42,30.38,148,221.92,315.2,Shale
2025-05-08 05:07:14.372923,Oil & Gas,1340,9.93,27.35,121,561.51,297.88,Shale
2025-05-08 05:07:24.372923,Oil & Gas,1345,13.2,12.59,128,275.71,243.55,Limestone
2025-05-08 05:07:34.372923,Oil & Gas,1350,14.63,11.82,125,202.49,329.74,Limestone
2025-05-08 05:07:44.372923,Oil & Gas,1355,11.83,23.83,150,505.13,384.88,Sandstone
2025-05-08 05:07:54.372923,Oil & Gas,1360,14.35,15.0,93,205.25,259.57,Clay
2025-05-08 05:08:04.372923,Oil & Gas,1365,8.83,33.52,109,454.28,235.16,Limestone
2025-05-08 05:08:14.372923,Oil & Gas,1370,9.7,13.52,139,456.0,236.53,Shale
2025-05-08 05:08:24.372923,Oil & Gas,1375,5.05,19.28,130,212.41,225.23,Clay
2025-05-08 05:08:34.372923,Oil & Gas,1380,12.89,24.29,132,295.25,242.1,Limestone
2025-05-08 05:08:44.372923,Oil & Gas,1385,13.1,24.61,117,233.23,342.28,Limestone
2025-05-08 05:08:54.372923,Oil & Gas,1390,10.68,39.54,150,442.31,230.97,Sandstone
2025-05-08 05:09:04.372923,Oil & Gas,1395,6.01,13.36,158,230.36,200.63,Shale
2025-05-08 05:09:14.372923,Oil & Gas,1400,6.4,10.91,147,504.62,211.17,Sandstone
2025-05-08 05:09:24.372923,Oil & Gas,1405,10.44,25.14,153,331.31,235.82,Limestone
2025-05-08 05:09:34.372923,Oil & Gas,1410,10.11,23.7,95,404.33,394.81,Shale
2025-05-08 05:09:44.372923,Oil & Gas,1415,14.91,39.01,159,390.43,200.87,Sandstone
2025-05-08 05:09:54.372923,Oil & Gas,1420,5.55,14.18,125,486.82,303.62,Shale
2025-05-08 05:10:04.372923,Oil & Gas,1425,9.13,22.54,134,434.29,235.5,Sandstone
2025-05-08 05:10:14.372923,Oil & Gas,1430,5.89,31.62,98,293.98,246.66,Sandstone
2025-05-08 05:10:24.372923,Oil & Gas,1435,8.17,13.89,135,456.06,269.4,Sandstone
2025-05-08 05:10:34.372923,Oil & Gas,1440,8.71,39.96,86,254.98,272.37,Sandstone
2025-05-08 05:10:44.372923,Oil & Gas,1445,5.07,31.09,109,325.32,297.55,Limestone
2025-05-08 05:10:54.372923,Oil & Gas,1450,7.32,10.8,123,454.6,228.5,Sandstone
2025-05-08 05:11:04.372923,Oil & Gas,1455,14.66,28.24,85,335.95,222.91,Sandstone
2025-05-08 05:11:14.372923,Oil & Gas,1460,14.06,19.31,86,362.41,355.87,Clay
2025-05-08 05:11:24.372923,Oil & Gas,1465,10.11,39.59,108,563.34,344.18,Clay
2025-05-08 05:11:34.372923,Oil & Gas,1470,9.99,29.74,82,384.97,290.47,Sandstone
2025-05-08 05:11:44.372923,Oil & Gas,1475,10.83,31.06,149,479.44,391.36,Sandstone
2025-05-08 05:11:54.372923,Oil & Gas,1480,5.94,27.32,115,513.04,306.31,Limestone
2025-05-08 05:12:04.372923,Oil & Gas,1485,7.04,32.42,83,255.62,218.23,Limestone
2025-05-08 05:12:14.372923,Oil & Gas,1490,11.07,11.1,87,202.74,261.08,Shale
2025-05-08 05:12:24.372923,Oil & Gas,1495,7.73,28.22,155,541.89,372.46,Limestone
