Timestamp,Drilling_Type,Bit_Depth_ft,ROP_ft_per_hr,WOB_klbf,RPM,Torque_lbf_ft,Mud_Flow_gpm,Formation
2025-05-08 05:06:14.389422,Geothermal,1310,5.51,12.08,86,432.58,304.45,Clay
2025-05-08 05:06:24.389422,Geothermal,1315,14.83,12.19,143,359.47,276.04,Clay
2025-05-08 05:06:34.389422,Geothermal,1320,7.71,16.78,93,578.18,284.88,Sandstone
2025-05-08 05:06:44.389422,Geothermal,1325,5.94,22.83,102,558.13,313.85,Sandstone
2025-05-08 05:06:54.389422,Geothermal,1330,5.9,14.76,116,502.38,274.39,Shale
2025-05-08 05:07:04.389422,Geothermal,1335,6.94,33.51,123,537.45,354.99,Shale
2025-05-08 05:07:14.389422,Geothermal,1340,6.2,38.54,117,216.35,264.69,Clay
2025-05-08 05:07:24.389422,Geothermal,1345,8.29,17.81,147,352.26,381.02,Limestone
2025-05-08 05:07:34.389422,Geothermal,1350,13.95,22.39,81,599.65,327.45,Shale
2025-05-08 05:07:44.389422,Geothermal,1355,13.37,18.9,140,483.66,397.07,Clay
2025-05-08 05:07:54.389422,Geothermal,1360,12.61,13.07,93,356.78,352.13,Shale
2025-05-08 05:08:04.389422,Geothermal,1365,14.94,28.74,112,562.74,311.27,Sandstone
2025-05-08 05:08:14.389422,Geothermal,1370,7.49,17.05,92,459.95,237.84,Shale
2025-05-08 05:08:24.389422,Geothermal,1375,13.5,15.15,143,268.25,282.01,Limestone
2025-05-08 05:08:34.389422,Geothermal,1380,9.52,17.88,115,320.38,255.68,Clay
2025-05-08 05:08:44.389422,Geothermal,1385,14.96,33.28,131,466.36,227.47,Shale
2025-05-08 05:08:54.389422,Geothermal,1390,11.84,17.89,156,255.53,351.24,Limestone
2025-05-08 05:09:04.389422,Geothermal,1395,14.57,25.48,109,226.04,314.13,Shale
2025-05-08 05:09:14.389422,Geothermal,1400,14.94,29.45,133,226.15,235.41,Clay
2025-05-08 05:09:24.389422,Geothermal,1405,9.56,32.83,108,517.37,271.25,Sandstone
2025-05-08 05:09:34.389422,Geothermal,1410,12.28,32.38,127,356.78,390.42,Sandstone
2025-05-08 05:09:44.389422,Geothermal,1415,11.13,37.04,141,496.73,337.53,Shale
2025-05-08 05:09:54.389422,Geothermal,1420,9.8,22.58,106,551.97,276.55,Sandstone
2025-05-08 05:10:04.389422,Geothermal,1425,12.7,26.57,120,386.22,354.94,Limestone
2025-05-08 05:10:14.389422,Geothermal,1430,7.72,28.42,117,345.85,343.7,Limestone
2025-05-08 05:10:24.389422,Geothermal,1435,5.34,26.75,141,516.51,377.87,Shale
2025-05-08 05:10:34.389422,Geothermal,1440,8.16,18.97,103,596.55,235.82,Clay
2025-05-08 05:10:44.389422,Geothermal,1445,8.03,21.06,135,393.41,365.01,Shale
2025-05-08 05:10:54.389422,Geothermal,1450,14.11,15.67,95,309.13,210.53,Sandstone
2025-05-08 05:11:04.389422,Geothermal,1455,6.56,20.62,149,512.19,348.19,Shale
2025-05-08 05:11:14.389422,Geothermal,1460,9.4,29.0,81,349.8,278.59,Shale
2025-05-08 05:11:24.389422,Geothermal,1465,8.33,18.74,102,468.58,284.51,Sandstone
2025-05-08 05:11:34.389422,Geothermal,1470,9.04,12.99,137,399.44,388.57,Limestone
2025-05-08 05:11:44.389422,Geothermal,1475,6.15,37.59,106,482.63,249.91,Clay
2025-05-08 05:11:54.389422,Geothermal,1480,14.71,18.55,100,341.77,261.86,Clay
2025-05-08 05:12:04.389422,Geothermal,1485,12.2,17.26,130,458.29,369.83,Limestone
2025-05-08 05:12:14.389422,Geothermal,1490,10.91,21.17,141,476.14,222.55,Shale
2025-05-08 05:12:24.389422,Geothermal,1495,13.73,21.08,116,261.12,225.73,Clay
